ProductID,Product Name,Product Description,Cost Price,Selling Price,Eat Out Price,Popup Notes,Tax Percentage,Eat Out Tax Percentage,Category Name,Brand Name,Unit Of Sale,Volume Of Sale,Barcode,Supplier,OrderCode,RRP,Product Type,Article Code,Tare Weight,Button Colour,Multiple Choice Note Name,Till Order,SKU,Sell On Till,Sell On Web
10595248,TEASPOON METAL 8PK,TEASPOON METAL 8PK,0.58,1,1,,20,0,home,,,0,5.0509E+12,Rayburn,,0,Standard,,,,,,,y,n
10595252,Tic Tac Fresh Mint 4pk (3+1,Tic Tac Fresh Mint 4pk (3+1 Free,0.67,1,1,,20,0,confectionery,,,0,4.0084E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595253,Tic Tac Lime & Orange 4pk (3,Tic Tac Lime & Orange 4pk (3+1 F,0.67,1,1,,20,0,confectionery,,,0,5.02041E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595254,TIXYLIX BABY COUGH SYRUP 02/,TIXYLIX BABY COUGH SYRUP 02/17,0.63,1.39,1.39,,20,0,health&beauty,,,0,5.05156E+12,Rayburn,,0,Standard,,,,,,,y,n
10595255,TIXYLIX COUGH SYRUP HONEY &,TIXYLIX COUGH SYRUP HONEY & LEMO,0.9,1.79,1.79,,20,0,health&beauty,,,0,5.05156E+12,Rayburn,,0,Standard,,,,,,,y,n
10595257,TOILET DUCK 5IN1 FRESH 10/2/,TOILET DUCK 5IN1 FRESH 10/2/18,0.65,1.19,1.19,,20,0,home,,,0,5.0002E+12,Rayburn,,0,Standard,,,,,,,y,n
10595258,TOILET DUCK 5IN1 MARINE 07/,TOILET DUCK 5IN1 MARINE 07/03/1,0.65,1.19,1.19,,20,0,home,,,0,5.0002E+12,Rayburn,,0,Standard,,,,,,,y,n
10595259,TREBOR SOFTMINTS P/MINT 17/0,TREBOR SOFTMINTS P/MINT 17/06/17,0.67,1.19,1.19,,20,0,confectionery,,,0,5.03466E+12,Rayburn,,0,Standard,,,,,,,y,n
10595260,TREBOR SOFTMINTS S/MINT 6/17,TREBOR SOFTMINTS S/MINT 6/17,0.67,1.19,1.19,,20,0,confectionery,,,0,5.03466E+12,Rayburn,,0,Standard,,,,,,,y,n
10595261,TRESEMME COND HEALTHY VOL PM,TRESEMME COND HEALTHY VOL PMP £2,0.68,1.29,1.99,,20,0,health&beauty,,,0,8.71091E+12,Rayburn,,0,Standard,,,,,,,y,n
10595262,TRESEMME COND RICH MOISTURE,TRESEMME COND RICH MOISTURE PMP,0.68,1.29,1.99,,20,0,health&beauty,,,0,8.71091E+12,Rayburn,,0,Standard,,,,,,,y,n
10595263,TRESEMME SPOO HEALTHY VOL PM,TRESEMME SPOO HEALTHY VOL PMP £2,0.68,1.29,1.99,,20,0,health&beauty,,,0,8.71091E+12,Rayburn,,0,Standard,,,,,,,y,n
10595264,TRESEMME SPOO RICH MOISTURE,TRESEMME SPOO RICH MOISTURE PMP,0.68,1.29,1.99,,20,0,health&beauty,,,0,8.71091E+12,Rayburn,,0,Standard,,,,,,,y,n
10595266,TWIX BAR SNACKSIZE 4PK 26/,TWIX BAR SNACKSIZE 4PK 26/2/17,0.66,1,1,,20,0,confectionery,,,0,5.00016E+12,Rayburn,,0,Standard,,,,,,,y,n
10595275,UMBRO B/WASH ACTION GREEN(D),UMBRO B/WASH ACTION GREEN(D),0.68,1.29,1.39,,20,0,health&beauty,,,0,7.61828E+11,Rayburn,,0,Standard,,,,,,,y,n
10595276,URBAN VIBES BLACK MAGIC,URBAN VIBES BLACK MAGIC,0.67,1.29,1.29,,20,0,health&beauty,,,0,5.06009E+12,Rayburn,,0,Standard,,,,,,,y,n
10595277,VAPOUR RUB 25G TWIN PACK,VAPOUR RUB 25G TWIN PACK,0.52,1,1,,20,0,health&beauty,,,0,5.05058E+12,discount wholesale,,0,Standard,,,,,,,y,n
10595278,Vaseline 200ml Body Lotion E,Vaseline 200ml Body Lotion Essen,0.67,1.19,1.09,,20,0,food,,,0,8.71256E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595279,Vaseline 200ml Intensive Car,Vaseline 200ml Intensive Care Lo,0.67,1.19,1.09,,20,0,food,,,0,8.71256E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595280,Vaseline 200ml Intensive Car,Vaseline 200ml Intensive Care Bo,0.67,1.19,1.09,,20,0,food,,,0,8.71256E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595281,VICTORIA ASSORTED TOFFEES 28,VICTORIA ASSORTED TOFFEES 28/02/,0.6,1,1,,20,0,confectionery,,,0,5.01515E+12,Rayburn,,0,Standard,,,,,,,y,n
10595282,VICTORIA BLACKCURRANT & LIQ,VICTORIA BLACKCURRANT & LIQ 11/1,0.6,1,1,,20,0,confectionery,,,0,5.01515E+12,Rayburn,,0,Standard,,,,,,,y,n
10595283,VICTORIA CHOCOLATE ECLAIRS 3,VICTORIA CHOCOLATE ECLAIRS 31/7/,0.6,1,1,,20,0,confectionery,,,0,5.01515E+12,Rayburn,,0,Standard,,,,,,,y,n
10595284,VICTORIA MINT SELECTION 31/0,VICTORIA MINT SELECTION 31/09/20,0.6,1,1,,20,0,confectionery,,,0,5.01515E+12,Rayburn,,0,Standard,,,,,,,y,n
10595285,VICTORIA SPEARMINT CHEWS 30/,VICTORIA SPEARMINT CHEWS 30/6/17,0.6,1,1,,20,0,confectionery,,,0,5.01515E+12,Rayburn,,0,Standard,,,,,,,y,n
10595286,Vileda Comfort & Care Gloves,Vileda Comfort & Care Gloves Lar,0.59,1,1,,20,0,home,,,0,4.0231E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595287,Vileda Supergrip Gloves Larg,Vileda Supergrip Gloves Large RR,0.59,1,1,,20,0,home,,,0,,SOS Wholesale,,0,Standard,,,,,,,y,n
10595289,VIM CREAM LEMON,VIM CREAM LEMON,0.63,1,1,,20,0,home,,,0,8.00632E+12,Rayburn,,0,Standard,,,,,,,y,n
10595290,VIM SCOUR POWDER,VIM SCOUR POWDER,0.5,1,1,,20,0,home,,,0,5.06E+12,Rayburn,,0,Standard,,,,,,,y,n
10595291,Vimto 2 Ltr Fizzy PM £1.59,Vimto 2 Ltr Fizzy PM £1.59,0.8,1.49,1.49,,20,0,drinks,,,0,5.01044E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595292,Vimto 250ml Tetra PM 49p,Vimto 250ml Tetra PM 49p,0.22,0.49,0.49,,20,0,drinks,,,0,5.01044E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595293,VIMTO BTL 4PK 4/17,VIMTO BTL 4PK 4/17,0.68,1.39,1.39,,20,0,drinks,,,0,5.01044E+12,Rayburn,,0,Standard,,,,,,,y,n
10595294,VIMTO CANS PM 49P 30/08/17,VIMTO CANS PM 49P 30/08/17,0.22,0.49,0.49,,20,0,health&beauty,,,0,5.01044E+12,Rayburn,,0,Standard,,,,,,,y,n
10595295,VIMTO CHEWS 6PK 05/17,VIMTO CHEWS 6PK 05/17,0.65,1.19,1.29,,20,0,confectionery,,,0,8.0134E+12,Rayburn,,0,Standard,,,,,,,y,n
10595296,VIMTO CORDIAL BTL +35% 31/08,VIMTO CORDIAL BTL +35% 31/08/17,0.68,1.39,1.39,,20,0,drinks,,,0,5.01044E+12,Rayburn,,0,Standard,,,,,,,y,n
10595297,VIMTO CORDIAL CHERRY +35% 05,VIMTO CORDIAL CHERRY +35% 05/17,0.68,1.39,1.39,,20,0,drinks,,,0,5.01044E+12,Rayburn,,0,Standard,,,,,,,y,n
10595298,VIMTO CORDIAL SUG FREE +35%,VIMTO CORDIAL SUG FREE +35% 07/1,0.68,1.39,1.39,,20,0,drinks,,,0,5.01044E+12,Rayburn,,0,Standard,,,,,,,y,n
10595299,VIMTO MINI JELLY BEANS 5/17,VIMTO MINI JELLY BEANS 5/17,0.65,1,1.09,,20,0,confectionery,,,0,5.01051E+12,Rayburn,,0,Standard,,,,,,,y,n
10595300,VIMTO REMIX CORDIAL MANGO &,VIMTO REMIX CORDIAL MANGO & STRA,0.68,1.39,1.39,,20,0,drinks,,,0,5.01044E+12,Rayburn,,0,Standard,,,,,,,y,n
10595301,VIMTO REMIX CORDIAL RASP& OR,VIMTO REMIX CORDIAL RASP& ORANGE,0.68,1.39,1.39,,20,0,drinks,,,0,5.01044E+12,Rayburn,,0,Standard,,,,,,,y,n
10595302,VITAMIN STORE A-Z MULTI VIT,VITAMIN STORE A-Z MULTI VIT & MI,0.67,1.39,1.39,,20,0,health&beauty,,,0,5.00045E+12,Rayburn,,0,Standard,,,,,,,y,n
